"Flight Number,Date,From,To,Aircraft,Flight time,STD,ATD,STA,ATA,Dep_Delay,Arr_Delay,STD_hour,weekday,delay,takeoff_hour,landing_hour,takeoff_delay,landing_delay,STA_hour,DayOfWeek,Route,ScheduledHour,Weekday,AircraftEncoded,RouteEncoded,DepartureDelay"
" ,2025-07-23,Mumbai (BOM),London (LHR),B772 (G-YMMG),8:59,1900-01-01 09:30:00,1900-01-01 09:57:00,1900-01-01 14:55:00,1900-01-01 14:26:00,27.0,-29.0,9.0,Wednesday,-29.0,9.0,14.0,27.0,-29.0,14.0,2.0,Mumbai (BOM)-London (LHR),9,2,188,34,27.0"
" ,2025-07-22,Mumbai (BOM),London (LHR),B772 (G-YMMT),8:58,1900-01-01 09:30:00,1900-01-01 12:20:00,1900-01-01 14:55:00,1900-01-01 16:48:00,170.0,113.0,9.0,Tuesday,113.0,9.0,14.0,170.0,113.0,14.0,1.0,Mumbai (BOM)-London (LHR),9,1,191,34,170.0"
" ,2025-07-21,Mumbai (BOM),London (LHR),B772 (G-YMMT),8:51,1900-01-01 09:30:00,1900-01-01 12:55:00,1900-01-01 14:55:00,1900-01-01 17:16:00,205.0,141.0,9.0,Monday,141.0,9.0,14.0,205.0,141.0,14.0,0.0,Mumbai (BOM)-London (LHR),9,0,191,34,205.0"
" ,2025-07-20,Mumbai (BOM),London (LHR),B772 (G-YMMU),9:28,1900-01-01 09:30:00,1900-01-01 09:42:00,1900-01-01 14:55:00,1900-01-01 14:40:00,12.0,-15.0,9.0,Sunday,-15.0,9.0,14.0,12.0,-15.0,14.0,6.0,Mumbai (BOM)-London (LHR),9,6,192,34,12.0"
" ,2025-07-19,Mumbai (BOM),London (LHR),B772 (G-YMMU),9:10,1900-01-01 09:30:00,1900-01-01 09:55:00,1900-01-01 14:55:00,1900-01-01 14:34:00,25.0,-21.0,9.0,Saturday,-21.0,9.0,14.0,25.0,-21.0,14.0,5.0,Mumbai (BOM)-London (LHR),9,5,192,34,25.0"
" ,2025-07-18,Mumbai (BOM),London (LHR),B772 (G-YMMI),9:06,1900-01-01 09:30:00,1900-01-01 09:41:00,1900-01-01 14:55:00,1900-01-01 14:16:00,11.0,-39.0,9.0,Friday,-39.0,9.0,14.0,11.0,-39.0,14.0,4.0,Mumbai (BOM)-London (LHR),9,4,189,34,11.0"
" ,2025-07-25,Mumbai (BOM),Kolhapur (KLH),E75L (VT-GSI),0:41,1900-01-01 09:30:00,1900-01-01 10:05:00,1900-01-01 10:35:00,1900-01-01 10:46:00,35.0,11.0,9.0,Friday,11.0,9.0,10.0,35.0,11.0,10.0,4.0,Mumbai (BOM)-Kolhapur (KLH),9,4,224,32,35.0"
" ,2025-07-24,Mumbai (BOM),Kolhapur (KLH),E75L (VT-GSI),0:48,1900-01-01 09:30:00,1900-01-01 09:26:00,1900-01-01 10:35:00,1900-01-01 10:14:00,-4.0,-21.0,9.0,Thursday,-21.0,9.0,10.0,-4.0,-21.0,10.0,3.0,Mumbai (BOM)-Kolhapur (KLH),9,3,224,32,-4.0"
" ,2025-07-23,Mumbai (BOM),Kolhapur (KLH),E75L (VT-GSI),0:43,1900-01-01 09:30:00,1900-01-01 09:41:00,1900-01-01 10:35:00,1900-01-01 10:25:00,11.0,-10.0,9.0,Wednesday,-10.0,9.0,10.0,11.0,-10.0,10.0,2.0,Mumbai (BOM)-Kolhapur (KLH),9,2,224,32,11.0"
" ,2025-07-22,Mumbai (BOM),Kolhapur (KLH),E75L (VT-GSI),0:39,1900-01-01 09:30:00,1900-01-01 09:54:00,1900-01-01 10:35:00,1900-01-01 10:33:00,24.0,-2.0,9.0,Tuesday,-2.0,9.0,10.0,24.0,-2.0,10.0,1.0,Mumbai (BOM)-Kolhapur (KLH),9,1,224,32,24.0"
